Fighter,Label
Khadis Ibragimov,1159
Zelim Imadaev,2102
Alekander Volkov,45
Vanessa Melo,2002
Antonio Arroyo,146
Billy Quarantillo,214
Makhmud Muradov,1283
Mallory Martin,1287
Joe Solecki,970
Chase Hooper,348
Punahele Soriano,1620
Ketlen Vieira,1147
Peter Yan,1600
Ian Heinisch,783
 Jun Yong Park,0
Seungwoo Choi,1816
Aleksa Camur,46
Herbert Burns,769
Jamahal Hill,846
Austin Lingo,179
Miles Johns,1451
Juan Adams,1067
Casey Kenney,318
Brok Weaver,264
Kai Kara France,1108
Kevin Aguilar,1148
Priscila Cachoeira,1618
Ben Sosoli,199
Jim Crute,936
Jordan Griffin,1017
Sean Brady,1792
Aalon Cruz,4
Gabriel Silva,696
Felicia Spencer,658
Jamall Emmers,848
Danaa Batgerel,474
Amanda Ribas,99
Elizeu Dos Santos,621
Bruno Silva,269
Hunter Azure,777
Rodrigo Nascimento,1713
Nate Landwehr,1499
Giga Chikadze,722
Daniel Rodriguez,484
Chris Gutierrez,371
Mariya Agapova,1327
Anthony Ivy,134
Tyson Nam,1987
Austin Hubbard,178
Philipe Lins,1609
Kay Hansen,1130
Sean Woodson,1802
Takashi Sato,1899
Martin Day,1345
Raulian Paiva,1654
Modestas Bukauskas,1466
Diana Belbita,552
